time	ROI central	ROI central_smaller	
215.8203	0.5029	0.5173	Non-native Unexpected
216.7969	0.498	0.5123	Non-native Unexpected
217.7734	0.4929	0.5071	Non-native Unexpected
218.75	0.4878	0.5018	Non-native Unexpected
219.7266	0.4826	0.4963	Non-native Unexpected
220.7031	0.4773	0.4906	Non-native Unexpected
221.6797	0.4719	0.4847	Non-native Unexpected
222.6562	0.4664	0.4787	Non-native Unexpected
223.6328	0.4609	0.4725	Non-native Unexpected
224.6094	0.4552	0.4661	Non-native Unexpected
225.5859	0.4494	0.4595	Non-native Unexpected
226.5625	0.4436	0.4528	Non-native Unexpected
227.5391	0.4376	0.4458	Non-native Unexpected
228.5156	0.4316	0.4388	Non-native Unexpected
229.4922	0.4254	0.4315	Non-native Unexpected
230.4688	0.4192	0.4241	Non-native Unexpected
231.4453	0.4128	0.4166	Non-native Unexpected
232.4219	0.4064	0.4089	Non-native Unexpected
233.3984	0.3998	0.401	Non-native Unexpected
234.375	0.3932	0.3931	Non-native Unexpected
235.3516	0.3865	0.385	Non-native Unexpected
236.3281	0.3797	0.3767	Non-native Unexpected
237.3047	0.3728	0.3684	Non-native Unexpected
238.2812	0.3658	0.36	Non-native Unexpected
239.2578	0.3588	0.3514	Non-native Unexpected
240.2344	0.3517	0.3428	Non-native Unexpected
241.2109	0.3445	0.3341	Non-native Unexpected
242.1875	0.3373	0.3254	Non-native Unexpected
243.1641	0.33	0.3166	Non-native Unexpected
244.1406	0.3227	0.3077	Non-native Unexpected
245.1172	0.3153	0.2989	Non-native Unexpected
246.0938	0.3079	0.29	Non-native Unexpected
247.0703	0.3005	0.2811	Non-native Unexpected
248.0469	0.2931	0.2723	Non-native Unexpected
249.0234	0.2857	0.2635	Non-native Unexpected
250	0.2783	0.2547	Non-native Unexpected
250.9766	0.2709	0.246	Non-native Unexpected
251.9531	0.2635	0.2373	Non-native Unexpected
252.9297	0.2562	0.2287	Non-native Unexpected
253.9062	0.249	0.2203	Non-native Unexpected
254.8828	0.2418	0.2119	Non-native Unexpected
255.8594	0.2347	0.2037	Non-native Unexpected
256.8359	0.2277	0.1957	Non-native Unexpected
257.8125	0.2208	0.1878	Non-native Unexpected
258.7891	0.214	0.18	Non-native Unexpected
259.7656	0.2074	0.1725	Non-native Unexpected
260.7422	0.2008	0.1651	Non-native Unexpected
261.7188	0.1945	0.158	Non-native Unexpected
262.6953	0.1883	0.1511	Non-native Unexpected
263.6719	0.1823	0.1444	Non-native Unexpected
264.6484	0.1764	0.138	Non-native Unexpected
265.625	0.1708	0.1318	Non-native Unexpected
266.6016	0.1654	0.1259	Non-native Unexpected
267.5781	0.1601	0.1202	Non-native Unexpected
268.5547	0.1552	0.1149	Non-native Unexpected
269.5312	0.1504	0.1098	Non-native Unexpected
270.5078	0.1459	0.105	Non-native Unexpected
271.4844	0.1417	0.1005	Non-native Unexpected
272.4609	0.1377	0.0964	Non-native Unexpected
273.4375	0.1339	0.0925	Non-native Unexpected
274.4141	0.1305	0.0889	Non-native Unexpected
275.3906	0.1273	0.0857	Non-native Unexpected
276.3672	0.1244	0.0828	Non-native Unexpected
277.3438	0.1217	0.0801	Non-native Unexpected
278.3203	0.1194	0.0778	Non-native Unexpected
279.2969	0.1173	0.0758	Non-native Unexpected
280.2734	0.1156	0.0741	Non-native Unexpected
