       value	     chindex	     chlabel	        bini	     ERPset
       0.188	          32	         CPz	           4	13_withDiff
       0.084	          38	          Fz	           4	13_withDiff
       0.887	          39	          F2	           4	13_withDiff
       0.972	          46	         FC2	           4	13_withDiff
      -0.653	          47	         FCz	           4	13_withDiff
      -0.002	          48	          Cz	           4	13_withDiff
       0.287	          49	          C2	           4	13_withDiff
       0.356	          56	         CP2	           4	13_withDiff
       1.973	           4	          F1	           5	13_withDiff
       2.338	          11	         FC1	           5	13_withDiff
       2.384	          12	          C1	           5	13_withDiff
       1.700	          19	         CP1	           5	13_withDiff
       1.546	          32	         CPz	           5	13_withDiff
       2.047	          38	          Fz	           5	13_withDiff
       2.910	          39	          F2	           5	13_withDiff
       2.287	          46	         FC2	           5	13_withDiff
       2.830	          47	         FCz	           5	13_withDiff
       3.243	          48	          Cz	           5	13_withDiff
       2.742	          49	          C2	           5	13_withDiff
       2.321	          56	         CP2	           5	13_withDiff
      -1.472	           4	          F1	           1	14_withDiff
       0.007	          11	         FC1	           1	14_withDiff
       1.048	          12	          C1	           1	14_withDiff
      -0.821	          19	         CP1	           1	14_withDiff
      -0.617	          32	         CPz	           1	14_withDiff
      -1.913	          38	          Fz	           1	14_withDiff
      -1.532	          39	          F2	           1	14_withDiff
      -1.377	          46	         FC2	           1	14_withDiff
       1.157	          47	         FCz	           1	14_withDiff
       1.365	          48	          Cz	           1	14_withDiff
      -0.664	          49	          C2	           1	14_withDiff
      -2.370	          56	         CP2	           1	14_withDiff
      -4.212	           4	          F1	           2	14_withDiff
      -4.956	          11	         FC1	           2	14_withDiff
      -3.352	          12	          C1	           2	14_withDiff
      -2.833	          19	         CP1	           2	14_withDiff
      -3.052	          32	         CPz	           2	14_withDiff
      -4.199	          38	          Fz	           2	14_withDiff
      -4.960	          39	          F2	           2	14_withDiff
      -4.173	          46	         FC2	           2	14_withDiff
      -3.118	          47	         FCz	           2	14_withDiff
      -4.060	          48	          Cz	           2	14_withDiff
      -4.713	          49	          C2	           2	14_withDiff
      -3.319	          56	         CP2	           2	14_withDiff
      -4.304	           4	          F1	           3	14_withDiff
      -2.802	          11	         FC1	           3	14_withDiff
      -2.171	          12	          C1	           3	14_withDiff
      -1.245	          19	         CP1	           3	14_withDiff
      -1.286	          32	         CPz	           3	14_withDiff
      -2.900	          38	          Fz	           3	14_withDiff
      -1.430	          39	          F2	           3	14_withDiff
      -0.990	          46	         FC2	           3	14_withDiff
      -2.617	          47	         FCz	           3	14_withDiff
      -2.885	          48	          Cz	           3	14_withDiff
      -1.462	          49	          C2	           3	14_withDiff
      -1.571	          56	         CP2	           3	14_withDiff
      -6.511	           4	          F1	           4	14_withDiff
      -4.952	          11	         FC1	           4	14_withDiff
      -5.602	          12	          C1	           4	14_withDiff
      -2.804	          19	         CP1	           4	14_withDiff
      -0.765	          32	         CPz	           4	14_withDiff
      -5.510	          38	          Fz	           4	14_withDiff
      -6.125	          39	          F2	           4	14_withDiff
      -5.792	          46	         FC2	           4	14_withDiff
      -3.630	          47	         FCz	           4	14_withDiff
      -3.064	          48	          Cz	           4	14_withDiff
      -2.336	          49	          C2	           4	14_withDiff
      -0.847	          56	         CP2	           4	14_withDiff
      -4.564	           4	          F1	           5	14_withDiff
      -3.591	          11	         FC1	           5	14_withDiff
      -4.011	          12	          C1	           5	14_withDiff
      -1.301	          19	         CP1	           5	14_withDiff
      -2.964	          32	         CPz	           5	14_withDiff
      -4.751	          38	          Fz	           5	14_withDiff
      -3.567	          39	          F2	           5	14_withDiff
      -4.361	          46	         FC2	           5	14_withDiff
      -3.897	          47	         FCz	           5	14_withDiff
      -1.549	          48	          Cz	           5	14_withDiff
      -3.109	          49	          C2	           5	14_withDiff
      -2.446	          56	         CP2	           5	14_withDiff
      -1.725	           4	          F1	           1	16_withDiff
      -0.904	          11	         FC1	           1	16_withDiff
      -1.464	          12	          C1	           1	16_withDiff
      -0.986	          19	         CP1	           1	16_withDiff
      -0.032	          32	         CPz	           1	16_withDiff
      -1.895	          38	          Fz	           1	16_withDiff
      -1.647	          39	          F2	           1	16_withDiff
      -1.709	          46	         FC2	           1	16_withDiff
      -2.016	          47	         FCz	           1	16_withDiff
      -1.066	          48	          Cz	           1	16_withDiff
      -0.947	          49	          C2	           1	16_withDiff
